,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
2023/07/24,32700.94,2023/07/24,35411.24,2023/07/24,465.68,2023/07/24,3164.1608,2023/07/24,13.91,2023/07/24,141.44,2023/07/24,156.51,2023/07/24,7.1855,2023/07/25,0.461,2023/07/24,3.857,2023/07/24,78.92,2023/07/24,1956.5
2023/07/21,32304.25,2023/07/21,35227.69,2023/07/21,465.4,2023/07/21,3167.7452,2023/07/21,13.6,2023/07/21,141.79,2023/07/21,157.76,2023/07/21,7.1861,2023/07/24,0.458,2023/07/21,3.839,2023/07/21,76.83,2023/07/21,1963.9
2023/07/20,32490.52,2023/07/20,35225.18,2023/07/20,463.93,2023/07/20,3169.522,2023/07/20,13.99,2023/07/20,140.07,2023/07/20,155.88,2023/07/20,7.1761,2023/07/21,0.48,2023/07/20,3.854,2023/07/20,75.63,2023/07/20,1972.1
2023/07/19,32896.03,2023/07/19,35061.21,2023/07/19,461.97,2023/07/19,3198.8358,2023/07/19,13.76,2023/07/19,139.67,2023/07/19,156.44,2023/07/19,7.226,2023/07/20,0.462,2023/07/19,3.742,2023/07/19,75.4,2023/07/19,1980.4
2023/07/18,32493.89,2023/07/18,34951.93,2023/07/18,460.76,2023/07/18,3197.8201,2023/07/18,13.3,2023/07/18,138.81,2023/07/18,155.87,2023/07/18,7.1786,2023/07/19,0.467,2023/07/18,3.789,2023/07/18,75.81,2023/07/18,1982.5
2023/07/14,32391.26,2023/07/17,34585.35,2023/07/17,457.92,2023/07/17,3209.6298,2023/07/17,13.48,2023/07/17,138.71,2023/07/17,155.86,2023/07/17,7.1711,2023/07/18,0.48,2023/07/17,3.797,2023/07/17,74.12,2023/07/17,1959.0
2023/07/13,32419.33,2023/07/14,34509.03,2023/07/14,460.83,2023/07/14,3237.7012,2023/07/14,13.34,2023/07/14,138.73,2023/07/14,155.83,2023/07/14,7.1403,2023/07/14,0.48,2023/07/14,3.82,2023/07/14,75.27,2023/07/14,1959.3
2023/07/12,31943.93,2023/07/13,34395.14,2023/07/13,461.36,2023/07/13,3236.48,2023/07/13,13.61,2023/07/13,138.03,2023/07/13,154.98,2023/07/13,7.15,2023/07/13,0.47,2023/07/13,3.759,2023/07/13,77.21,2023/07/13,1965.0
2023/07/11,32203.57,2023/07/12,34347.43,2023/07/12,458.54,2023/07/12,3196.1337,2023/07/12,13.54,2023/07/12,138.5,2023/07/12,154.16,2023/07/12,7.1656,2023/07/12,0.477,2023/07/12,3.861,2023/07/12,75.86,2023/07/12,1963.1
2023/07/10,32189.73,2023/07/11,34261.42,2023/07/11,451.72,2023/07/11,3221.3666,2023/07/11,14.84,2023/07/11,140.37,2023/07/11,154.49,2023/07/11,7.209,2023/07/11,0.451,2023/07/11,3.982,2023/07/11,74.81,2023/07/11,1937.6
2023/07/07,32388.42,2023/07/10,33944.4,2023/07/10,448.47,2023/07/10,3203.6958,2023/07/10,15.07,2023/07/10,141.31,2023/07/10,155.45,2023/07/10,7.2315,2023/07/10,0.467,2023/07/10,4.006,2023/07/10,73.21,2023/07/10,1930.9
2023/07/06,32773.02,2023/07/07,33734.88,2023/07/07,447.65,2023/07/07,3196.6092,2023/07/07,14.83,2023/07/07,142.07,2023/07/07,155.84,2023/07/07,7.2205,2023/07/07,0.441,2023/07/07,4.048,2023/07/07,73.67,2023/07/07,1930.5
2023/07/05,33338.7,2023/07/06,33922.26,2023/07/06,447.22,2023/07/06,3205.5748,2023/07/06,15.44,2023/07/06,144.06,2023/07/06,156.87,2023/07/06,7.25,2023/07/06,0.406,2023/07/06,4.041,2023/07/06,71.91,2023/07/06,1916.9
2023/07/04,33422.52,2023/07/05,34288.64,2023/07/05,457.94,2023/07/05,3222.9469,2023/07/05,14.18,2023/07/05,144.64,2023/07/05,157.0,2023/07/05,7.2465,2023/07/05,0.381,2023/07/05,3.945,2023/07/05,71.83,2023/07/05,1922.7
2023/07/03,33753.33,2023/07/03,34418.47,2023/07/04,461.3,2023/07/04,3245.3492,2023/07/04,13.7,2023/07/04,144.45,2023/07/04,157.16,2023/07/04,7.2142,2023/07/04,0.376,2023/07/03,3.858,2023/07/03,70.12,2023/07/03,1929.2
2023/06/30,33189.04,2023/06/30,34407.6,2023/07/03,460.98,2023/07/03,3243.975,2023/07/03,13.57,2023/07/03,144.66,2023/07/03,157.87,2023/07/03,7.24,2023/07/03,0.401,2023/06/30,3.819,2023/06/30,70.45,2023/06/30,1927.8
2023/06/29,33234.14,2023/06/29,34122.42,2023/06/30,461.93,2023/06/30,3202.0623,2023/06/30,13.59,2023/06/30,144.32,2023/06/30,157.44,2023/06/30,7.2513,2023/06/30,0.396,2023/06/29,3.854,2023/06/29,69.78,2023/06/29,1916.2
2023/06/28,33193.99,2023/06/28,33852.66,2023/06/29,456.64,2023/06/29,3182.3812,2023/06/29,13.54,2023/06/29,144.77,2023/06/29,157.26,2023/06/29,7.2515,2023/06/29,0.382,2023/06/28,3.712,2023/06/28,69.15,2023/06/28,1916.5
2023/06/27,32538.33,2023/06/27,33926.74,2023/06/28,456.05,2023/06/28,3189.3758,2023/06/28,13.43,2023/06/28,144.46,2023/06/28,157.65,2023/06/28,7.2436,2023/06/28,0.39,2023/06/27,3.768,2023/06/27,68.03,2023/06/27,1923.3
2023/06/26,32698.81,2023/06/26,33714.71,2023/06/27,452.9,2023/06/27,3189.4427,2023/06/27,13.74,2023/06/27,144.07,2023/06/27,157.9,2023/06/27,7.2193,2023/06/27,0.372,2023/06/26,3.719,2023/06/26,69.53,2023/06/26,1932.9
2023/06/23,32781.54,2023/06/23,33727.43,2023/06/26,452.68,2023/06/26,3150.6189,2023/06/26,14.25,2023/06/26,143.5,2023/06/26,156.51,2023/06/26,7.2364,2023/06/26,0.354,2023/06/23,3.739,2023/06/23,69.5,2023/06/23,1930.3
