,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
2023/11/20,33388.03,2023/11/20,35151.04,2023/11/21,455.85,2023/11/21,3067.9328,2023/11/21,13.35,2023/11/21,148.39,2023/11/21,161.9,2023/11/21,7.1352,2023/11/21,0.697,2023/11/20,4.422,2023/11/20,77.5,2023/11/20,1980.2
2023/11/17,33585.2,2023/11/17,34947.28,2023/11/20,456.26,2023/11/20,3068.3191,2023/11/20,13.41,2023/11/20,148.36,2023/11/20,162.31,2023/11/20,7.168,2023/11/20,0.744,2023/11/17,4.441,2023/11/17,75.84,2023/11/17,1983.5
2023/11/16,33424.41,2023/11/16,34945.47,2023/11/17,455.82,2023/11/17,3054.3655,2023/11/17,13.8,2023/11/17,149.62,2023/11/17,163.28,2023/11/17,7.2111,2023/11/17,0.752,2023/11/16,4.445,2023/11/16,72.9,2023/11/16,1984.3
2023/11/15,33519.7,2023/11/15,34991.21,2023/11/16,451.27,2023/11/16,3050.9257,2023/11/16,14.32,2023/11/16,150.71,2023/11/16,163.55,2023/11/16,7.2422,2023/11/16,0.791,2023/11/15,4.537,2023/11/15,76.58,2023/11/15,1963.1
2023/11/14,32695.93,2023/11/14,34827.7,2023/11/15,454.52,2023/11/15,3072.8348,2023/11/15,14.18,2023/11/15,151.35,2023/11/15,164.18,2023/11/15,7.2466,2023/11/15,0.8,2023/11/14,4.441,2023/11/14,78.21,2023/11/14,1967.2
2023/11/13,32585.11,2023/11/13,34337.87,2023/11/14,452.6,2023/11/14,3056.0703,2023/11/14,14.16,2023/11/14,150.38,2023/11/14,163.57,2023/11/14,7.253,2023/11/14,0.856,2023/11/13,4.632,2023/11/13,78.51,2023/11/13,1950.2
2023/11/10,32568.11,2023/11/10,34283.1,2023/11/13,446.62,2023/11/13,3046.5329,2023/11/13,14.76,2023/11/13,151.71,2023/11/13,162.29,2023/11/13,7.2884,2023/11/13,0.876,2023/11/10,4.628,2023/11/10,77.35,2023/11/10,1942.7
2023/11/09,32646.46,2023/11/09,33891.94,2023/11/10,443.31,2023/11/10,3038.9699,2023/11/10,14.17,2023/11/10,151.5,2023/11/10,161.86,2023/11/10,7.2891,2023/11/10,0.857,2023/11/09,4.63,2023/11/09,75.58,2023/11/09,1963.9
2023/11/08,32166.48,2023/11/08,34112.27,2023/11/09,447.8,2023/11/09,3053.2792,2023/11/09,15.29,2023/11/09,151.34,2023/11/09,161.44,2023/11/09,7.2835,2023/11/09,0.84,2023/11/08,4.523,2023/11/08,75.59,2023/11/08,1956.2
2023/11/07,32271.82,2023/11/07,34152.6,2023/11/08,444.07,2023/11/08,3052.3726,2023/11/08,14.45,2023/11/08,150.97,2023/11/08,161.67,2023/11/08,7.28,2023/11/08,0.848,2023/11/07,4.571,2023/11/07,77.13,2023/11/07,1975.6
2023/11/06,32708.48,2023/11/06,34095.86,2023/11/07,442.81,2023/11/07,3057.2697,2023/11/07,14.81,2023/11/07,150.34,2023/11/07,160.89,2023/11/07,7.2788,2023/11/07,0.881,2023/11/06,4.662,2023/11/06,80.92,2023/11/06,1984.7
2023/11/02,31949.89,2023/11/03,34061.32,2023/11/06,443.52,2023/11/06,3058.4105,2023/11/06,14.89,2023/11/06,150.07,2023/11/06,160.82,2023/11/06,7.2695,2023/11/06,0.875,2023/11/03,4.558,2023/11/03,80.89,2023/11/03,1999.9
2023/11/01,31601.65,2023/11/02,33839.08,2023/11/03,444.24,2023/11/03,3030.7977,2023/11/03,14.91,2023/11/03,149.37,2023/11/03,160.25,2023/11/03,7.3005,2023/11/02,0.916,2023/11/02,4.669,2023/11/02,82.48,2023/11/02,1993.3
2023/10/31,30858.85,2023/11/01,33274.58,2023/11/02,443.47,2023/11/02,3009.4058,2023/11/02,15.66,2023/11/02,150.44,2023/11/02,159.79,2023/11/02,7.316,2023/11/01,0.956,2023/11/01,4.791,2023/11/01,80.9,2023/11/01,1991.3
2023/10/30,30696.96,2023/10/31,33052.87,2023/11/01,436.57,2023/11/01,3023.0765,2023/11/01,16.87,2023/11/01,150.95,2023/11/01,159.56,2023/11/01,7.3175,2023/10/31,0.951,2023/10/31,4.875,2023/10/31,81.35,2023/10/31,1992.7
2023/10/27,30991.69,2023/10/30,32928.96,2023/10/31,433.66,2023/10/31,3018.7706,2023/10/31,18.14,2023/10/31,151.67,2023/10/31,160.41,2023/10/31,7.3158,2023/10/30,0.892,2023/10/30,4.877,2023/10/30,82.59,2023/10/30,2005.7
2023/10/26,30601.78,2023/10/27,32417.59,2023/10/30,431.12,2023/10/30,3021.5534,2023/10/30,19.75,2023/10/30,149.1,2023/10/30,158.2,2023/10/30,7.3133,2023/10/27,0.873,2023/10/27,4.845,2023/10/27,85.16,2023/10/27,2016.3
2023/10/25,31269.92,2023/10/26,32784.3,2023/10/27,429.58,2023/10/27,3017.7842,2023/10/27,21.27,2023/10/27,149.6,2023/10/27,158.1,2023/10/27,7.317,2023/10/26,0.886,2023/10/26,4.845,2023/10/26,83.5,2023/10/26,1995.0
2023/10/24,31062.35,2023/10/25,33035.93,2023/10/26,433.2,2023/10/26,2988.2992,2023/10/26,20.68,2023/10/26,150.38,2023/10/26,158.83,2023/10/26,7.315,2023/10/25,0.855,2023/10/25,4.953,2023/10/25,85.29,2023/10/25,1991.2
2023/10/23,30999.55,2023/10/24,33141.38,2023/10/25,435.27,2023/10/25,2974.1135,2023/10/25,20.19,2023/10/25,150.21,2023/10/25,158.72,2023/10/25,7.3165,2023/10/24,0.846,2023/10/24,4.84,2023/10/24,83.69,2023/10/24,1982.1
2023/10/20,31259.36,2023/10/23,32936.41,2023/10/24,435.09,2023/10/24,2962.2437,2023/10/24,18.97,2023/10/24,149.91,2023/10/24,158.75,2023/10/24,7.309,2023/10/23,0.869,2023/10/23,4.838,2023/10/23,86.11,2023/10/23,1984.3
