,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
2024/05/09,38073.98,2024/05/09,39387.76,2024/05/09,516.77,2024/05/09,3154.3201,2024/05/09,12.69,2024/05/09,155.46,2024/05/09,167.62,2024/05/09,7.2198,2024/05/10,0.91,2024/05/09,4.449,2024/05/09,79.57,2024/05/09,2353.1
2024/05/08,38202.37,2024/05/08,39056.39,2024/05/08,515.77,2024/05/08,3128.4798,2024/05/08,13.0,2024/05/08,155.48,2024/05/08,167.18,2024/05/08,7.2241,2024/05/09,0.908,2024/05/08,4.492,2024/05/08,79.22,2024/05/08,2316.1
2024/05/07,38835.1,2024/05/07,38884.26,2024/05/07,514.02,2024/05/07,3147.738,2024/05/07,13.23,2024/05/07,154.69,2024/05/07,166.36,2024/05/07,7.2181,2024/05/08,0.879,2024/05/07,4.461,2024/05/07,78.37,2024/05/07,2322.5
2024/05/02,38236.07,2024/05/06,38852.27,2024/05/06,508.22,2024/05/06,3140.7204,2024/05/06,13.49,2024/05/06,153.88,2024/05/06,165.72,2024/05/06,7.2078,2024/05/07,0.871,2024/05/06,4.489,2024/05/06,78.69,2024/05/06,2332.9
2024/05/01,38274.05,2024/05/03,38675.68,2024/05/03,505.53,2024/04/30,3104.8245,2024/05/03,13.49,2024/05/03,152.98,2024/05/03,164.64,2024/05/03,7.2401,2024/05/02,0.904,2024/05/03,4.5,2024/05/03,77.99,2024/05/03,2310.1
2024/04/30,38405.66,2024/05/02,38225.66,2024/05/02,503.21,2024/04/29,3113.0432,2024/05/02,14.68,2024/05/02,153.63,2024/05/02,164.84,2024/05/02,7.2401,2024/05/01,0.893,2024/05/02,4.571,2024/05/02,79.06,2024/05/02,2313.4
2024/04/26,37934.76,2024/05/01,37903.29,2024/05/01,504.31,2024/04/26,3088.6357,2024/05/01,15.39,2024/05/01,154.47,2024/05/01,165.53,2024/05/01,7.2401,2024/04/30,0.872,2024/05/01,4.591,2024/05/01,79.13,2024/05/01,2330.2
2024/04/25,37628.48,2024/04/30,37815.92,2024/04/30,504.89,2024/04/25,3052.9,2024/04/30,15.65,2024/04/30,157.8,2024/04/30,168.21,2024/04/30,7.2401,2024/04/26,0.92,2024/04/30,4.684,2024/04/30,81.55,2024/04/30,2297.3
2024/04/24,38460.08,2024/04/29,38386.09,2024/04/29,508.34,2024/04/24,3044.8223,2024/04/29,14.67,2024/04/29,156.33,2024/04/29,167.57,2024/04/29,7.2318,2024/04/25,0.895,2024/04/29,4.612,2024/04/29,82.73,2024/04/29,2347.5
2024/04/23,37552.16,2024/04/26,38239.66,2024/04/26,507.98,2024/04/23,3021.9775,2024/04/26,15.03,2024/04/26,158.33,2024/04/26,169.3,2024/04/26,7.2464,2024/04/24,0.888,2024/04/26,4.669,2024/04/26,83.66,2024/04/26,2349.6
2024/04/22,37438.61,2024/04/25,38085.8,2024/04/25,502.38,2024/04/22,3044.5952,2024/04/25,15.37,2024/04/25,155.65,2024/04/25,167.0,2024/04/25,7.2393,2024/04/23,0.885,2024/04/25,4.706,2024/04/25,83.77,2024/04/25,2344.6
2024/04/19,37068.35,2024/04/24,38460.92,2024/04/24,505.61,2024/04/19,3065.261,2024/04/24,15.97,2024/04/24,155.34,2024/04/24,166.19,2024/04/24,7.246,2024/04/22,0.88,2024/04/24,4.654,2024/04/24,82.84,2024/04/24,2328.9
2024/04/18,38079.7,2024/04/23,38503.69,2024/04/23,507.79,2024/04/18,3074.2246,2024/04/23,15.69,2024/04/23,154.82,2024/04/23,165.67,2024/04/23,7.2448,2024/04/19,0.835,2024/04/23,4.598,2024/04/23,83.4,2024/04/23,2335.7
2024/04/17,37961.8,2024/04/22,38239.98,2024/04/22,502.31,2024/04/17,3071.3806,2024/04/22,16.94,2024/04/22,154.84,2024/04/22,164.97,2024/04/22,7.243,2024/04/18,0.865,2024/04/22,4.623,2024/04/22,83.02,2024/04/22,2341.1
2024/04/16,38471.2,2024/04/19,37986.4,2024/04/19,499.29,2024/04/16,3007.0681,2024/04/19,18.71,2024/04/19,154.63,2024/04/19,164.78,2024/04/19,7.2403,2024/04/17,0.889,2024/04/19,4.615,2024/04/19,83.24,2024/04/19,2406.7
2024/04/15,39232.8,2024/04/18,37775.38,2024/04/18,499.7,2024/04/15,3057.3776,2024/04/18,18.0,2024/04/18,154.63,2024/04/18,164.58,2024/04/18,7.2382,2024/04/16,0.867,2024/04/18,4.647,2024/04/18,82.51,2024/04/18,2394.4
2024/04/12,39523.55,2024/04/17,37753.31,2024/04/17,498.52,2024/04/12,3019.4735,2024/04/17,18.21,2024/04/17,154.38,2024/04/17,164.75,2024/04/17,7.2384,2024/04/15,0.86,2024/04/17,4.585,2024/04/17,82.86,2024/04/17,2376.6
2024/04/11,39442.63,2024/04/16,37798.97,2024/04/16,498.21,2024/04/11,3034.2464,2024/04/16,18.4,2024/04/16,154.71,2024/04/16,164.26,2024/04/16,7.237,2024/04/12,0.861,2024/04/16,4.657,2024/04/16,85.31,2024/04/16,2399.5
2024/04/10,39581.81,2024/04/15,37735.11,2024/04/15,505.93,2024/04/10,3027.3349,2024/04/15,19.23,2024/04/15,154.27,2024/04/15,163.9,2024/04/15,7.2378,2024/04/11,0.855,2024/04/15,4.628,2024/04/15,85.65,2024/04/15,2399.3
