,日経平均,,NYダウ,,欧州（ストックス600）,,中国（上海総合）,,VIX指数（米国株の予想変動率）,,ドル/円,,ユーロ/円,,ドル/元,,日本,,米国,,原油（WTI）,,金（米先物）
↓,329.83000000000175,↓,201.9499999999971,↓,1.7700000000000955,↑,0.5742000000000189,↑,0.4299999999999997,↑円高,0.060000000000002274,↑円高,0.0800000000000125,↓元安,0.0033000000000003027,↑,0.009999999999999898,↑,0.011700000000000266,↓,1.8100000000000023,↓,42.899999999999636
2024/05/22,38617.1,2024/05/22,39671.04,2024/05/22,521.18,2024/05/22,3158.5399,2024/05/22,12.29,2024/05/22,156.71,2024/05/22,169.6,2024/05/22,7.2409,2024/05/22,1.005,2024/05/22,4.4257,2024/05/22,77.25,2024/05/22,2382.3
2024/05/21,38946.93,2024/05/21,39872.99,2024/05/21,522.95,2024/05/21,3157.9657,2024/05/21,11.86,2024/05/22,156.77,2024/05/22,169.68,2024/05/21,7.2376,2024/05/22,0.995,2024/05/21,4.414,2024/05/21,79.06,2024/05/21,2425.2
2024/05/20,39069.68,2024/05/20,39806.77,2024/05/20,523.89,2024/05/20,3171.1451,2024/05/20,12.15,2024/05/21,156.15,2024/05/21,169.48,2024/05/20,7.2344,2024/05/21,0.98,2024/05/20,4.437,2024/05/20,79.65,2024/05/20,2430.3
2024/05/17,38787.38,2024/05/17,40003.59,2024/05/17,522.94,2024/05/17,3154.0263,2024/05/17,11.99,2024/05/20,156.24,2024/05/20,169.65,2024/05/17,7.2234,2024/05/20,0.977,2024/05/17,4.42,2024/05/17,80.0,2024/05/17,2419.8
2024/05/16,38920.26,2024/05/16,39869.38,2024/05/16,523.62,2024/05/16,3122.401,2024/05/16,12.42,2024/05/17,155.65,2024/05/17,169.22,2024/05/16,7.2181,2024/05/17,0.949,2024/05/16,4.377,2024/05/16,79.36,2024/05/16,2380.8
2024/05/15,38385.73,2024/05/15,39908.0,2024/05/15,524.71,2024/05/15,3119.9021,2024/05/15,12.45,2024/05/16,155.38,2024/05/16,168.84,2024/05/15,7.219,2024/05/16,0.92,2024/05/15,4.356,2024/05/15,78.87,2024/05/15,2391.8
2024/05/14,38356.06,2024/05/14,39558.11,2024/05/14,521.65,2024/05/14,3145.7743,2024/05/14,13.42,2024/05/15,154.87,2024/05/15,168.56,2024/05/14,7.233,2024/05/15,0.952,2024/05/14,4.445,2024/05/14,78.45,2024/05/14,2363.5
2024/05/13,38179.46,2024/05/13,39431.51,2024/05/13,520.86,2024/05/13,3148.0207,2024/05/13,13.6,2024/05/14,156.42,2024/05/14,169.2,2024/05/13,7.2326,2024/05/14,0.961,2024/05/13,4.481,2024/05/13,79.2,2024/05/13,2342.3
2024/05/10,38229.11,2024/05/10,39512.84,2024/05/10,520.76,2024/05/10,3154.5472,2024/05/10,12.55,2024/05/13,156.2,2024/05/13,168.53,2024/05/10,7.2261,2024/05/13,0.941,2024/05/10,4.504,2024/05/10,78.2,2024/05/10,2366.9
